hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 18.46, 18.46, -4632.57, 20.00, 4.63, 2.22, -4.04, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.45, 18.45, -4297.43, 20.00, 4.63, 9.44, 3.94, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.47, 18.47, -4176.50, 20.00, 4.63, 11.67, 6.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.45, 18.45, -4226.89, 20.00, 4.63, 11.11, 5.79, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.41, 18.41, -4299.67, 20.00, 4.63, 10.56, 5.29, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.35, 18.35, -4386.64, 20.00, 4.63, 10.00, 4.68, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -4066.02, 20.00, 4.63, 10.00, 4.68, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -4143.81, 20.00, 4.63, 9.44, 4.07, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -4107.42, 20.00, 4.63, 9.44, 4.07, 0.00, 3.77, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -3641.67, 20.00, 4.63, 10.56, 5.17, 0.00, 41.48, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -3175.11, 20.00, 4.63, 11.67, 6.40, 0.00, 61.48, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 20.00, 20.00, -2577.87, 20.00, 4.63, 13.33, 8.00, 0.00, 97.28, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 20.00, 20.00, -2500.04, 20.00, 4.63, 13.89, 8.62, 0.00, 93.16, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 20.00, 20.00, -2766.02, 20.00, 4.63, 13.33, 8.00, 0.00, 64.11, 0.00, 2.71, 63.74, 0, 0
2.00, 5.70, 19.65, 19.65, -2969.33, 20.00, 4.63, 12.22, 6.89, 0.00, 20.74, 0.00, 17.81, 65.77, 0, 0
2.00, 5.70, 19.48, 19.48, -2960.35, 20.00, 4.63, 12.22, 6.89, 0.00, 44.73, 0.00, 31.77, 70.55, 0, 0
2.00, 5.70, 19.38, 19.38, -3020.45, 20.00, 4.63, 12.22, 6.89, 0.00, 45.98, 0.00, 44.15, 77.56, 0, 0
2.00, 5.70, 19.22, 19.22, -3361.54, 20.00, 4.63, 11.67, 6.28, 0.00, 16.97, 0.00, 55.01, 86.22, 0, 0
2.00, 5.70, 19.04, 19.04, -3625.85, 20.00, 4.63, 11.11, 5.79, 0.00, 1.89, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.91, 18.91, -3751.26, 20.00, 4.63, 11.11, 5.79, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.80, 18.80, -3880.00, 20.00, 4.63, 10.56, 5.17, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.71, 18.71, -3963.75, 20.00, 4.63, 10.56, 5.17, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.62, 18.62, -4075.81, 20.00, 4.63, 10.00, 4.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.54, 18.54, -4150.54, 20.00, 4.63, 10.00, 4.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.47, 18.47, -4218.70, 20.00, 4.63, 10.00, 4.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.40, 18.40, -4321.13, 20.00, 4.63, 9.44, 3.94, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.31, 18.31, -4428.93, 20.00, 4.63, 8.89, 3.46, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.23, 18.23, -4541.50, 20.00, 4.63, 8.33, 2.84, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.14, 18.14, -4657.57, 20.00, 4.63, 7.78, 2.23, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.05, 18.05, -4737.49, 20.00, 4.63, 7.78, 2.23, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
