CALDERA,CALDERA,CALDERA
SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
ConsumoACS,ConsumoCAL,Energía Suministrada
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Energía Suministrada en W
Biomasa densificada (pelets),Biomasa densificada (pelets),Biomasa densificada (pelets)
 0.00 , 3132.44 , 2156.95 
 0.00 , 3089.01 , 2126.03 
 0.00 , 3070.31 , 2112.73 
 0.00 , 3099.63 , 2133.58 
 0.00 , 3164.70 , 2179.93 
 0.00 , 3042.72 , 2093.11 
 0.00 , 2649.61 , 1814.90 
3818.15 , 2594.55 , 5335.33 
 0.00 , 2576.39 , 1763.34 
 0.00 , 2618.27 , 1792.82 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 128.63 , 85.76 
 0.00 , 917.66 , 616.95 
 0.00 , 10323.42 , 7714.93 
 0.00 , 4439.94 , 3101.59 
 0.00 , 4198.36 , 2925.00 
 0.00 , 3991.23 , 2774.33 
4106.82 , 3535.08 , 6281.53 
 0.00 , 3169.14 , 2183.09 
 0.00 , 3002.39 , 2064.46 
 0.00 , 2801.28 , 1921.95 
 0.00 , 2883.76 , 1980.33 
 0.00 , 3106.74 , 2138.65 
 0.00 , 3323.56 , 2293.34 
 0.00 , 3261.74 , 2249.16 
 0.00 , 2826.42 , 1939.73 
 0.00 , 2850.67 , 1956.89 
 0.00 , 2821.89 , 1936.53 
3762.65 , 2850.97 , 5466.32 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 472.67 , 316.28 
 0.00 , 1251.50 , 844.40 
 0.00 , 1453.48 , 982.81 
 0.00 , 10496.02 , 7860.00 
 0.00 , 5035.67 , 3541.14 
 0.00 , 3215.98 , 2216.49 
 0.00 , 2176.76 , 1483.38 
 0.00 , 1237.68 , 834.96 
 0.00 , 890.11 , 598.25 
4059.27 , 400.73 , 4043.26 
 0.00 , 410.17 , 274.27 
 0.00 , 670.54 , 449.62 
 0.00 , 1778.60 , 1206.85 
 0.00 , 2490.84 , 1703.20 
 0.00 , 2683.27 , 1838.62 
 0.00 , 2352.54 , 1606.23 
 0.00 , 2350.71 , 1604.94 
 0.00 , 2349.73 , 1604.26 
 0.00 , 2416.12 , 1650.77 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
3947.68 , 370.26 , 3919.00 
 0.00 , 10248.04 , 7651.75 
 0.00 , 4249.35 , 2962.19 
 0.00 , 4050.88 , 2817.65 
 0.00 , 3887.23 , 2698.94 
 0.00 , 3729.51 , 2584.95 
 0.00 , 3322.29 , 2292.43 
 0.00 , 2818.75 , 1934.31 
 0.00 , 2600.86 , 1780.56 
 0.00 , 2696.91 , 1848.25 
3886.51 , 2987.48 , 5679.71 
 0.00 , 3251.78 , 2242.04 
 0.00 , 3153.51 , 2171.95 
 0.00 , 2713.93 , 1860.26 
 0.00 , 2735.45 , 1875.45 
 0.00 , 2704.29 , 1853.45 
 0.00 , 2744.98 , 1882.18 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 221.03 , 147.51 
 0.00 , 1179.31 , 795.08 
 0.00 , 1519.05 , 1027.87 
3831.52 , 10305.98 , 11423.32 
 0.00 , 5156.21 , 3630.79 
 0.00 , 3753.24 , 2602.07 
 0.00 , 3486.39 , 2409.99 
 0.00 , 3804.66 , 2639.21 
 0.00 , 3456.49 , 2388.54 
 0.00 , 3064.98 , 2108.94 
 0.00 , 2712.70 , 1859.39 
 0.00 , 2594.79 , 1776.29 
 0.00 , 3214.38 , 2215.35 
 0.00 , 3881.75 , 2694.98 
3868.03 , 3939.36 , 6354.11 
 0.00 , 3552.95 , 2457.80 
 0.00 , 3601.90 , 2493.00 
 0.00 , 3661.67 , 2536.03 
 0.00 , 3589.76 , 2484.26 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 813.07 , 546.03 
 0.00 , 1520.42 , 1028.81 
 0.00 , 1584.01 , 1072.57 
 0.00 , 1695.74 , 1149.61 
 0.00 , 10496.02 , 7860.00 
 0.00 , 5005.30 , 3518.59 
4146.53 , 3551.51 , 6330.64 
 0.00 , 3324.77 , 2294.20 
 0.00 , 2728.90 , 1870.82 
 0.00 , 2815.18 , 1931.79 
 0.00 , 3038.31 , 2089.98 
 0.00 , 3200.74 , 2205.62 
 0.00 , 3218.98 , 2218.64 
