hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 18.88, 18.88, -341.90, 20.00, 4.63, 2.22, -3.90, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.86, 18.86, -342.33, 20.00, 4.63, 9.44, 4.21, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.84, 18.84, -342.55, 20.00, 4.63, 11.67, 6.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.81, 18.81, -345.46, 20.00, 4.63, 11.11, 6.04, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.77, 18.77, -349.18, 20.00, 4.63, 10.56, 5.55, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.74, 18.74, -353.49, 20.00, 4.63, 10.00, 4.94, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.70, 18.70, -357.25, 20.00, 4.63, 10.00, 4.94, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.82, 18.82, -329.63, 20.00, 4.63, 9.44, 4.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.80, 18.80, -330.21, 20.00, 4.63, 9.44, 4.33, 0.00, 3.65, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.80, 18.80, -329.27, 20.00, 4.63, 10.56, 5.43, 0.00, 40.15, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 18.89, 18.89, -308.56, 20.00, 4.63, 11.67, 6.65, 15.42, 60.44, 87.75, -39.97, 74.87, 0, 0
2.00, 5.70, 18.95, 18.95, -293.87, 20.00, 4.63, 13.33, 8.26, 85.13, 95.17, 75.80, -27.02, 68.58, 0, 0
2.00, 5.70, 18.93, 18.93, -297.22, 20.00, 4.63, 13.89, 8.88, 38.18, 90.47, 63.37, -12.58, 64.72, 0, 0
2.00, 5.70, 18.88, 18.88, -306.43, 20.00, 4.63, 13.33, 8.26, 0.00, 62.05, 50.63, 2.71, 63.74, 0, 0
2.00, 5.70, 18.82, 18.82, -317.14, 20.00, 4.63, 12.22, 7.15, 0.00, 20.08, 37.75, 17.81, 65.77, 0, 0
2.00, 5.70, 18.79, 18.79, -320.99, 20.00, 4.63, 12.22, 7.15, 2.86, 43.30, 24.94, 31.77, 70.55, 0, 0
2.00, 5.70, 18.77, 18.77, -322.55, 20.00, 4.63, 12.22, 7.15, 27.67, 44.56, 12.93, 44.15, 77.56, 0, 0
2.00, 5.70, 18.74, 18.74, -325.03, 20.00, 4.63, 11.67, 6.54, 0.00, 16.43, 8.23, 55.01, 86.22, 0, 0
2.00, 5.70, 18.73, 18.73, -324.70, 20.00, 4.63, 11.11, 6.04, 0.00, 1.83, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.73, 18.73, -323.40, 20.00, 4.63, 11.11, 6.04, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.72, 18.72, -323.19, 20.00, 4.63, 10.56, 5.43, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.71, 18.71, -322.82, 20.00, 4.63, 10.56, 5.43, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.70, 18.70, -322.83, 20.00, 4.63, 10.00, 4.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
